q_deg,input_torque_Nm,input_torque_mNm,link 1_Nm,link 2_Nm,link 3_Nm,joint R12_Nm,joint R23_Nm,joint T3_Nm,rod P0-B2_Nm,rod A1-C3_Nm,TCP payload_Nm
38.6,-0.00607134760542,-6.07134760542,-0.000762733046358,-0.00130454240487,-0.000849393278361,-0.000915279655629,-0.00104153395168,-0.00065725260504,-0.000109162587798,-0.000431450075677,0
38.7,-0.00603462538156,-6.03462538156,-0.000761656075279,-0.00129970270702,-0.000840154494148,-0.000913987290335,-0.0010355667702,-0.000644742218095,-0.000108892195838,-0.000429923630642,0
38.8,-0.00599792651183,-5.99792651183,-0.000760576784064,-0.00129486326346,-0.000830925804581,-0.000912692140877,-0.00102960275431,-0.000632248854852,-0.00010862194248,-0.000428394967215,0
38.9,-0.00596125140028,-5.96125140028,-0.000759495176,-0.00129002410961,-0.000821707324001,-0.0009113942112,-0.00102364195321,-0.000619772694792,-0.000108351827773,-0.000426864103697,0
39,-0.00592460045001,-5.92460045001,-0.000758411254382,-0.00128518528084,-0.00081249916645,-0.000910093505259,-0.00101768441599,-0.000607313916905,-0.000108081851761,-0.000425331058419,0
39.1,-0.00588797406319,-5.88797406319,-0.000757325022512,-0.00128034681244,-0.000803301445666,-0.000908790027015,-0.00101173019164,-0.000594872699692,-0.000107812014487,-0.000423795849737,0
39.2,-0.00585137264105,-5.85137264105,-0.000756236483699,-0.00127550873963,-0.000794114275082,-0.000907483780439,-0.00100577932901,-0.000582449221153,-0.000107542315992,-0.00042225849604,0
39.3,-0.00581479658386,-5.81479658386,-0.000755145641258,-0.00127067109757,-0.000784937767823,-0.000906174769509,-0.00099983187685,-0.000570043658796,-0.000107272756311,-0.00042071901574,0
39.4,-0.00577824629095,-5.77824629095,-0.000754052498512,-0.00126583392134,-0.000775772036709,-0.000904862998215,-0.000993887883791,-0.000557656189627,-0.00010700333548,-0.00041917742728,0
39.5,-0.00574172216068,-5.74172216068,-0.000752957058792,-0.00126099724593,-0.000766617194248,-0.000903548470551,-0.000987947398349,-0.000545286990147,-0.00010673405353,-0.000417633749129,0
39.6,-0.00570522459046,-5.70522459046,-0.000751859325434,-0.0012561611063,-0.000757473352643,-0.000902231190521,-0.000982010468928,-0.000532936236359,-0.00010646491049,-0.000416087999783,0
39.7,-0.00566875397673,-5.66875397673,-0.000750759301783,-0.0012513255373,-0.000748340623782,-0.000900911162139,-0.000976077143814,-0.00052060410375,-0.000106195906388,-0.000414540197769,0
39.8,-0.00563231071496,-5.63231071496,-0.000749656991188,-0.00124649057374,-0.000739219119241,-0.000899588389425,-0.00097014747118,-0.000508290767302,-0.000105927041247,-0.000412990361636,0
39.9,-0.00559589519965,-5.59589519965,-0.000748552397008,-0.00124165625033,-0.000730108950285,-0.000898262876409,-0.000964221499084,-0.000495996401486,-0.000105658315089,-0.000411438509963,0
40,-0.00555950782435,-5.55950782435,-0.000747445522607,-0.00123682260173,-0.000721010227863,-0.000896934627128,-0.000958299275471,-0.000483721180254,-0.000105389727932,-0.000409884661357,0
40.1,-0.00552314898158,-5.52314898158,-0.000746336371358,-0.00123198966253,-0.000711923062607,-0.00089560364563,-0.000952380848171,-0.000471465277043,-0.000105121279792,-0.000408328834448,0
40.2,-0.00548681906293,-5.48681906293,-0.000745224946639,-0.00122715746724,-0.000702847564834,-0.000894269935966,-0.000946466264897,-0.000459228864771,-0.000104852970683,-0.000406771047895,0
40.3,-0.00545051845896,-5.45051845896,-0.000744111251835,-0.0012223260503,-0.000693783844541,-0.000892933502202,-0.000940555573252,-0.000447012115831,-0.000104584800615,-0.000405211320384,0
