q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,g_x_mm,g_y_mm,h_x_mm,h_y_mm
51.5,5.214426011e-07,0,0,24.26085285,19.29795374,78.03496161,14.36386522,54,0,65.518519,7.957621,76.61839458,-19.9133812,103.1462223,-28.87297781,86.55605364,-76.04040671
52,5.727949599e-07,0,0,24.42833335,19.08550574,78.19673768,14.08963766,54,0,65.518519,7.957621,76.45889996,-19.97637381,102.8147335,-29.42994749,85.34637099,-76.27924163
52.5,6.310976346e-07,0,0,24.59395354,18.87160431,78.35638181,13.81183077,54,0,65.518519,7.957621,76.3020506,-20.03729726,102.4747691,-29.98660987,84.1253151,-76.49787292
53,6.975772564e-07,0,0,24.7577008,18.65626572,78.51386359,13.53035463,54,0,65.518519,7.957621,76.14800695,-20.09614859,102.126139,-30.54299854,82.89263829,-76.69570713
53.5,7.737328218e-07,0,0,24.91956266,18.4395064,78.66915119,13.24511172,54,0,65.518519,7.957621,75.99694722,-20.15292052,101.7686378,-31.09915205,81.64806204,-76.87209708
54,8.614098306e-07,0,0,25.07952681,18.22134283,78.82221122,12.95599613,54,0,65.518519,7.957621,75.84907029,-20.20760069,101.4020438,-31.65511428,80.39127351,-77.02633429
54.5,9.628987385e-07,0,0,25.23758105,18.00179163,78.97300849,12.66289275,54,0,65.518519,7.957621,75.70459935,-20.26017073,101.0261171,-32.21093498,79.12192151,-77.15764009
55,1.081067182e-06,0,0,25.39371336,17.78086954,79.12150585,12.3656763,54,0,65.518519,7.957621,75.56378612,-20.31060519,100.6405976,-32.76667026,77.83961181,-77.26515497
55.5,1.21953947e-06,0,0,25.54791183,17.55859335,79.26766386,12.06421028,54,0,65.518519,7.957621,75.42691616,-20.35887013,100.245203,-33.32238319,76.54390157,-77.34792594
56,1.382944063e-06,0,0,25.70016473,17.33498002,79.41144059,11.75834575,54,0,65.518519,7.957621,75.29431533,-20.40492139,99.83962644,-33.87814448,75.23429283,-77.40489117
56.5,1.57725934e-06,0,0,25.85046046,17.11004656,79.5527912,11.44791991,54,0,65.518519,7.957621,75.1663578,-20.44870246,99.42353335,-34.43403325,73.91022474,-77.43486139
57,1.810304695e-06,0,0,25.99878758,16.8838101,79.69166761,11.13275458,54,0,65.518519,7.957621,75.04347612,-20.49014164,98.99655858,-34.99013785,72.57106417,-77.43649697
57.5,2.092450394e-06,0,0,26.14513479,16.65628787,79.82801803,10.81265436,54,0,65.518519,7.957621,74.92617395,-20.52914851,98.5583026,-35.54655685,71.21609429,-77.40827954
58,2.437664222e-06,0,0,26.28949095,16.4274972,79.96178647,10.48740456,54,0,65.518519,7.957621,74.81504239,-20.56560924,98.10832729,-36.10340013,69.84450051,-77.3484763
58.5,2.865088298e-06,0,0,26.43184506,16.19745552,80.09291206,10.1567688,54,0,65.518519,7.957621,74.71078112,-20.59938042,97.6461511,-36.66079017,68.45535288,-77.25509456
59,3.401474217e-06,0,0,26.57218629,15.96618034,80.22132842,9.820486214,54,0,65.518519,7.957621,74.61422629,-20.63028074,97.17124331,-37.21886346,67.04758372,-77.12582311
59.5,4.085048793e-06,0,0,26.71050394,15.73368927,80.34696276,9.478268204,54,0,65.518519,7.957621,74.52638779,-20.65807961,96.68301747,-37.77777218,65.61995875,-76.95795517
60,4.971847602e-06,0,0,26.84678748,15.50000002,80.46973492,9.12979464,54,0,65.518519,7.957621,74.44850014,-20.6824814,96.18082357,-38.33768617,64.1710389,-76.74828522
