q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_eh_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_h_Nm
61.5,-0.00741454394535,-7.41454394535,-0.000501968552316,-0.00119422976055,-0.0023975230837,-4.80582025537e-06,1.23966221629e-05,-0.000602362262779,-0.00118898237805,-0.00150823378833,-2.88349215322e-05
62,-0.00733762702196,-7.33762702196,-0.000504749353503,-0.00121478162101,-0.00241880604325,-3.82794972904e-06,0.000154364387933,-0.000605699224203,-0.00121647320732,-0.0015046863125,-2.29676983743e-05
62.5,-0.00724503022625,-7.24503022625,-0.000507491670964,-0.00123650641185,-0.00244145669647,-2.75035322244e-06,0.000315308560921,-0.000608990005157,-0.00124576961262,-0.00150087191755,-1.65021193346e-05
63,-0.00713052163573,-7.13052163573,-0.000510195288324,-0.00125955628427,-0.00246563571032,-1.49842319869e-06,0.000501431903518,-0.000612234345988,-0.00127710008042,-0.00149674286753,-8.99053919211e-06
63.5,-0.00698391385864,-6.98391385864,-0.000512860098726,-0.00128411265864,-0.00249153223723,6.447868456e-08,0.000722548473489,-0.000615432118472,-0.00131073686949,-0.00149223970037,3.8687210735e-07
64,-0.00678746756909,-6.78746756909,-0.000515485852813,-0.00131038882186,-0.00251936472181,2.20082124298e-06,0.00099523724839,-0.000618583023376,-0.00134700020942,-0.0014872879369,1.32049274579e-05
64.5,-0.00650642675488,-6.50642675488,-0.000518072350524,-0.00133864197566,-0.0025493927299,5.47832618425e-06,0.00135108852776,-0.000621686820629,-0.00138627614286,-0.00148179354635,3.28699571055e-05
65,-0.00605983892471,-6.05983892471,-0.000520619394239,-0.00136918440992,-0.00258192644882,1.13490461964e-05,0.00186186143757,-0.000624743273086,-0.00142903334179,-0.0014756368178,6.80942771784e-05
65.5,-0.00518281364176,-5.18281364176,-0.000523126779744,-0.0014023996688,-0.00261734055391,2.50198636936e-05,0.00275717751818,-0.000627752135693,-0.0014758473675,-0.00146866370015,0.000150119182161
66,-0.00398694059662,-3.98694059662,-0.000525614283191,-0.00143705729742,-0.00265429756904,4.46643860006e-05,0.00393420274212,-0.000630737139829,-0.0015248488063,-0.00146123894496,0.000267986316003
