q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_eh_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_h_Nm
32.5,-0.00833346090304,-8.33346090304,-0.00028348296766,-0.000550679381125,-0.00181050699046,-7.88137208502e-05,-0.00276009355556,-0.000340179561192,-0.000485839510495,-0.0015509828906,-0.000472882325101
33,-0.00833331009213,-8.33331009213,-0.000288044671675,-0.000559616389091,-0.00181898986566,-7.71001460086e-05,-0.0027349388924,-0.00034565360601,-0.000493770977627,-0.00155259466761,-0.000462600876051
33.5,-0.00833265819262,-8.33265819262,-0.000292584439973,-0.000568558345921,-0.0018274201415,-7.53977204142e-05,-0.00270936017932,-0.000351101327968,-0.000501736190914,-0.00155411352412,-0.000452386322485
34,-0.00833151403402,-8.33151403402,-0.000297101926833,-0.000577506211629,-0.00183579988339,-7.37069123979e-05,-0.00268335837909,-0.0003565223122,-0.000509737005244,-0.00155553992885,-0.000442241474387
34.5,-0.00832988623407,-8.32988623407,-0.000301596788231,-0.000586461019955,-0.0018441312713,-7.20281699364e-05,-0.00265693406429,-0.000361916145877,-0.000517775384057,-0.00155687437081,-0.000432169019618
35,-0.00832778318776,-8.32778318776,-0.000306068681865,-0.000595423882721,-0.00185241660571,-7.03619207634e-05,-0.00263008738849,-0.000367282418238,-0.000525853405843,-0.00155811735955,-0.00042217152458
35.5,-0.00832521305594,-8.32521305594,-0.000310517267183,-0.0006043959945,-0.001860658314,-6.87085725107e-05,-0.00260281805557,-0.00037262072062,-0.000533973271129,-0.00155926942536,-0.000412251435064
36,-0.00832218375338,-8.32218375338,-0.00031494220541,-0.000613378637634,-0.00186885895723,-6.70685128821e-05,-0.0025751252871,-0.000377930646492,-0.00054213730996,-0.00156033111939,-0.000402411077292
36.5,-0.00831870293623,-8.31870293623,-0.000319343159567,-0.000622373187619,-0.00187702123744,-6.54421098551e-05,-0.00254700778738,-0.000383211791481,-0.000550347989948,-0.00156130301382,-0.000392652659131
37,-0.00831477798856,-8.31477798856,-0.000323719794506,-0.000631381118896,-0.00188514800541,-6.38297119137e-05,-0.00251846370606,-0.000388463753408,-0.000558607924936,-0.00156218570195,-0.000382978271482
37.5,-0.00831041600802,-8.31041600802,-0.000328071776929,-0.000640404011086,-0.00189324226904,-6.22316483082e-05,-0.00248949059793,-0.000393686132315,-0.000566919884314,-0.00156297979826,-0.000373389889849
38,-0.00830562379027,-8.30562379027,-0.000332398775416,-0.000649443555711,-0.00190130720224,-6.06482293429e-05,-0.00246008537952,-0.000398878530499,-0.000575286803067,-0.00156368593842,-0.000363889376057
38.5,-0.00830040781203,-8.30040781203,-0.000336700460448,-0.000658501563435,-0.00190934615454,-5.90797466908e-05,-0.00243024428235,-0.000404040552538,-0.000583711792614,-0.00156430477926,-0.000354478480145
39,-0.00829477421247,-8.29477421247,-0.000340976504436,-0.000667579971898,-0.00191736266145,-5.7526473734e-05,-0.00239996280206,-0.000409171805324,-0.000592198152523,-0.00156483699864,-0.000345158842404
39.5,-0.00828872877272,-8.28872877272,-0.000345226581743,-0.000676680854169,-0.00192536045546,-5.598866593e-05,-0.00236923564332,-0.000414271898092,-0.000600749383162,-0.00156528329526,-0.00033593199558
40,-0.00828227689302,-8.28227689302,-0.000349450368708,-0.000685806427908,-0.00193334347804,-5.44665612023e-05,-0.0023380566597,-0.00041934044245,-0.000609369199412,-0.00156564438839,-0.000326799367214
40.5,-0.00827542356731,-8.27542356731,-0.000353647543674,-0.000694959065283,-0.00194131589247,-5.29603803564e-05,-0.00230641878797,-0.000424377052409,-0.000618061545516,-0.0015659210175,-0.000317762282139
41,-0.0082681733547,-8.2681733547,-0.000357817787009,-0.000704141303738,-0.00194928209774,-5.14703275191e-05,-0.00227431397626,-0.000429381344411,-0.000626830611196,-0.00156611394171,-0.000308821965114
41.5,-0.00826053034733,-8.26053034733,-0.000361960781134,-0.000713355857683,-0.00195724674353,-4.99965906018e-05,-0.00224173310503,-0.000434352937361,-0.000635680849163,-0.00156622393921,-0.000299979543611
42,-0.00825249813407,-8.25249813407,-0.000366076210543,-0.00072260563121,-0.0019652147464,-4.85393417879e-05,-0.00220866590018,-0.000439291452652,-0.000644616994163,-0.00156625180641,-0.000291236050727
42.5,-0.00824407975937,-8.24407975937,-0.00037016376183,-0.000731893731946,-0.00197319130739,-4.70987380426e-05,-0.00217510083706,-0.000444196514196,-0.000653644083722,-0.00156619835693,-0.000282592428256
43,-0.00823527767641,-8.23527767641,-0.000374223123713,-0.000741223486149,-0.001981181931,-4.5674921647e-05,-0.00214102503437,-0.000449067748456,-0.000662767480767,-0.00156606442044,-0.000274049529882
43.5,-0.00822609369367,-8.22609369367,-0.000378253987055,-0.000750598455206,-0.00198919244589,-4.42680207543e-05,-0.0021064241363,-0.000453904784466,-0.000671992898343,-0.00156585084113,-0.000265608124526
44,-0.00821652891379,-8.21652891379,-0.000382256044889,-0.000760022453666,-0.00199722902732,-4.28781499704e-05,-0.00207128218164,-0.000458707253867,-0.000681326426632,-0.00156555847599,-0.000257268899823
44.5,-0.00820658366348,-8.20658366348,-0.000386228992445,-0.000769499568996,-0.00200529822158,-4.1505410956e-05,-0.00203558145759,-0.000463474790934,-0.00069077456256,-0.00156518819268,-0.000249032465736
45,-0.00819625741288,-8.19625741288,-0.000390172527166,-0.000779034183247,-0.00201340697266,-4.0149893052e-05,-0.00199930233651,-0.000468207032599,-0.000700344242271,-0.00156474086706,-0.000240899358312
45.5,-0.00818554868258,-8.18554868258,-0.000394086348736,-0.000788630996863,-0.00202156265133,-3.88116739266e-05,-0.00196242309268,-0.000472903618484,-0.00071004287681,-0.0015642173802,-0.00023287004356
46,-0.00817445493627,-8.17445493627,-0.000397970159104,-0.000798295054876,-0.00202977308693,-3.74908202426e-05,-0.00192491969644,-0.000477564190925,-0.000719878391389,-0.00156361861491,-0.000224944921456
46.5,-0.00816297245618,-8.16297245618,-0.000401823662501,-0.000808031775787,-0.00203804660224,-3.61873883441e-05,-0.00188676558192,-0.000482188395001,-0.00072985926868,-0.00156294545165,-0.000217124330065
47,-0.00815109619851,-8.15109619851,-0.000405646565468,-0.000817846983458,-0.00204639205165,-3.49014249585e-05,-0.00184793138437,-0.000486775878561,-0.000739994596625,-0.00156219876367,-0.000209408549751
47.5,-0.0081388196249,-8.1388196249,-0.000409438576876,-0.000827746942386,-0.00205481886317,-3.36329679098e-05,-0.00180838464211,-0.000491326292251,-0.000750294121329,-0.00156137941141,-0.000201797807459
48,-0.00812613450559,-8.12613450559,-0.000413199407948,-0.000837738396817,-0.00206333708463,-3.2382046837e-05,-0.00176808945733,-0.000495839289537,-0.000760768305688,-0.00156048823578,-0.000194292281022
48.5,-0.00811303068867,-8.11303068867,-0.000416928772282,-0.000847828614169,-0.00207195743468,-3.11486839063e-05,-0.00172700610848,-0.000500314526738,-0.000771428394515,-0.00155952605046,-0.000186892103438
