q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_ef_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_g_Nm
42.5,-0.0101443851296,-10.1443851296,-0.000513452427719,-0.000900849981121,-0.00234516172201,-5.81969713502e-05,-0.00272308971044,-0.000616142913263,-0.000735132058419,-0.000349181828101,-0.00190317751715
43,-0.010132984726,-10.132984726,-0.000518322660274,-0.000910888975699,-0.00235224820346,-5.68630287694e-05,-0.00268521461768,-0.000621987192329,-0.000744346271219,-0.000341178172616,-0.00190193560396
43.5,-0.0101212117947,-10.1212117947,-0.00052315342055,-0.000920944705571,-0.00235935575814,-5.5542947478e-05,-0.00264689529121,-0.00062778410466,-0.000753632953697,-0.000333257684868,-0.00190064492849
44,-0.0101090736299,-10.1090736299,-0.000527944340667,-0.000931020804305,-0.00236649376426,-5.42364882461e-05,-0.00260811794706,-0.0006335332088,-0.000762997997657,-0.000325418929477,-0.00189931014945
44.5,-0.0100965772899,-10.0965772899,-0.000532695055777,-0.000941121195478,-0.00237367223553,-5.29433800043e-05,-0.00256886714078,-0.000639234066932,-0.000772447726284,-0.000317660280026,-0.00189793620907
45,-0.0100837295366,-10.0837295366,-0.000537405204094,-0.000951250116997,-0.00238090187284,-5.16633169329e-05,-0.00252912559373,-0.000644886244913,-0.000781988930583,-0.000309979901597,-0.00189652835488
45.5,-0.010070536763,-10.070536763,-0.000542074426923,-0.000961412147928,-0.00238819412123,-5.03959550481e-05,-0.00248887399613,-0.000650489312308,-0.000791628909585,-0.000302375730289,-0.00189509216353
46,-0.0100570049039,-10.0570049039,-0.000546702368684,-0.00097161223813,-0.00239556123268,-4.91409081934e-05,-0.00244809078287,-0.00065604284242,-0.000801375514774,-0.00029484544916,-0.001893633567
46.5,-0.0100431393275,-10.0431393275,-0.00055128867694,-0.000981855741055,-0.00240301633539,-4.78977433239e-05,-0.00240675187784,-0.000661546412328,-0.000811237199255,-0.000287386459944,-0.00189215888146
47,-0.0100289447031,-10.0289447031,-0.000555833002427,-0.000992148450122,-0.00241057351056,-4.66659749508e-05,-0.00236483040115,-0.000666999602913,-0.00082122307227,-0.000279995849705,-0.00189067483901
47.5,-0.0100144248402,-10.0144248402,-0.000560334999077,-0.0010024966391,-0.00241824787738,-4.54450585795e-05,-0.00232229633313,-0.000672401998892,-0.000831342959764,-0.000272670351477,-0.00188918862281
48,-0.00999958249279,-9.99958249279,-0.000564794324044,-0.00101290710709,-0.00242605568748,-4.42343829401e-05,-0.00227911612701,-0.000677753188852,-0.000841607471785,-0.00026540629764,-0.00188770790595
48.5,-0.00998441912019,-9.98441912019,-0.000569210637733,-0.00102338722862,-0.00243401443001,-4.30332607608e-05,-0.0022352522612,-0.00068305276528,-0.000852028077644,-0.000258199564565,-0.00188624089438
49,-0.00996893459555,-9.96893459555,-0.000573583603825,-0.00103394500967,-0.00244214294872,-4.18409177748e-05,-0.0021906627196,-0.00068830032459,-0.000862617189914,-0.000251045506649,-0.00188479637481
49.5,-0.00995312684897,-9.95312684897,-0.0005779128893,-0.00104458915043,-0.00245046157288,-4.06564795747e-05,-0.00214530038592,-0.000693495467161,-0.00087338825848,-0.000243938877448,-0.00188338376778
50,-0.00993699143011,-9.93699143011,-0.000582198164467,-0.00105532911564,-0.00245899226373,-3.9478955831e-05,-0.00209911233502,-0.000698637797361,-0.000884355876106,-0.000236873734986,-0.00188201318696
50.5,-0.00992052097051,-9.92052097051,-0.000586439102985,-0.00106617521385,-0.00246775877895,-3.83072212649e-05,-0.00205203899973,-0.000703726923582,-0.000895535897191,-0.000229843327589,-0.00188069550536
51,-0.00990370452055,-9.90370452055,-0.000590635381888,-0.00107713868663,-0.00247678685758,-3.71399925985e-05,-0.00200401318683,-0.000708762458265,-0.000906945571679,-0.000222839955591,-0.00187944242948
51.5,-0.00988652672895,-9.88652672895,-0.000594786681613,-0.00108823180959,-0.00248610442854,-3.59758004929e-05,-0.00195495890883,-0.000713744017935,-0.000918603696453,-0.000215854802957,-0.00187826658253
52,-0.00986896682339,-9.86896682339,-0.000598892686021,-0.00109946800678,-0.00249574184648,-3.48129551944e-05,-0.00190478998952,-0.000718671223225,-0.000930530786939,-0.000208877731167,-0.00187718159806
52.5,-0.00985099733834,-9.85099733834,-0.000602953082423,-0.00111086198071,-0.00250573215899,-3.36495042332e-05,-0.00185340838986,-0.000723543698907,-0.00094274927216,-0.000201897025399,-0.00187620222565
53,-0.00983258251961,-9.83258251961,-0.000606967561602,-0.00112242986066,-0.00251611141051,-3.24831800006e-05,-0.00180070218546,-0.000728361073922,-0.000955283717071,-0.000194899080004,-0.00187534445038
53.5,-0.00981367631247,-9.81367631247,-0.000610935817839,-0.00113418937213,-0.00252691898879,-3.13113343394e-05,-0.00174654310674,-0.000733122981406,-0.00096816107679,-0.000187868006037,-0.00187462562839
54,-0.00979421980931,-9.79421980931,-0.000614857548932,-0.00114616003127,-0.00253819802124,-3.01308563237e-05,-0.00169078352551,-0.000737829058719,-0.00098141098819,-0.000180785137942,-0.00187406464118
54.5,-0.00977413799,-9.77413799,-0.000618732456224,-0.00115836336864,-0.00254999582967,-2.89380680771e-05,-0.00163325273433,-0.000742478947469,-0.000995066105489,-0.000173628408463,-0.00187368207164
55,-0.00975333552827,-9.75333552827,-0.000622560244623,-0.00117082318758,-0.00256236445408,-2.77285916177e-05,-0.00157375231361,-0.000747072293547,-0.00100916248782,-0.000166371549706,-0.00187350040568
55.5,-0.00973169135259,-9.73169135259,-0.000626340622622,-0.00118356586377,-0.00257536125795,-2.64971770613e-05,-0.00151205030919,-0.000751608747146,-0.00102374004851,-0.000158983062368,-0.00187354426397
56,-0.00970905152803,-9.70905152803,-0.000630073302325,-0.00119662069379,-0.00258904963055,-2.52374786883e-05,-0.00144787384069,-0.00075608796279,-0.0010388430779,-0.00015142487213,-0.00187384066915
56.5,-0.00968521984785,-9.68521984785,-0.000633757999467,-0.00121002030244,-0.00260349980514,-2.3941759764e-05,-0.00138089961337,-0.00076050959936,-0.0010545208543,-0.000143650558584,-0.00187441935542
57,-0.00965994525965,-9.65994525965,-0.000637394433433,-0.00122380112078,-0.00261878981621,-2.26004986314e-05,-0.00131074158933,-0.000764873320119,-0.00107082836104,-0.000135602991788,-0.00187531312833
57.5,-0.00963290485271,-9.63290485271,-0.000640982327282,-0.00123800394979,-0.00263500662463,-2.1201855885e-05,-0.00123693474998,-0.000769178792738,-0.00108782713194,-0.00012721113531,-0.00187655828515
58,-0.00960368051916,-9.60368051916,-0.000644521407764,-0.00125267462831,-0.0026522474466,-1.97309427214e-05,-0.00115891338693,-0.000773425689316,-0.00110558625314,-0.000118385656329,-0.00187819510806
58.5,-0.00957172643451,-9.57172643451,-0.000648011405338,-0.00126786482854,-0.0026706213313,-1.8168799307e-05,-0.0010759815856,-0.000777613686406,-0.00112418355641,-0.000109012795842,-0.00188026844576
59,-0.00953632293908,-9.53632293908,-0.000651452054194,-0.001283633009,-0.00269025104444,-1.64909411457e-05,-0.00098727232686,-0.000781742465033,-0.00114370704847,-9.89456468741e-05,-0.00188282840305
59.5,-0.00949650980259,-9.49650980259,-0.00065484309226,-0.00130004556272,-0.00271127532994,-1.4665246291e-05,-0.000891689586547,-0.000785811710712,-0.00116425663337,-8.79914777461e-05,-0.001885931163
60,-0.00945098738839,-9.45098738839,-0.000658184261219,-0.00131717820964,-0.00273385164327,-1.26488089755e-05,-0.0007878243237,-0.000789821113463,-0.00118594620099,-7.58928538528e-05,-0.00188963997328
60.5,-0.00939796627395,-9.39796627395,-0.000661475306511,-0.00133511769668,-0.00275815947683,-1.03831208154e-05,-0.000673829066042,-0.000793770367813,-0.00120890617721,-6.22987248924e-05,-0.00189402633716
61,-0.00933493106893,-9.33493106893,-0.000664715977317,-0.00135396388886,-0.00278440443538,-7.78644497573e-06,-0.000547224357489,-0.00079765917278,-0.00123328666051,-4.67186698544e-05,-0.00189917146175
61.5,-0.00925821224173,-9.25821224173,-0.000667906076927,-0.00137383369923,-0.00281282647415,-4.73947131973e-06,-0.000404549452013,-0.000801487292312,-0.00125926325653,-2.84368279184e-05,-0.00190516969132
62,-0.00916247505667,-9.16247505667,-0.000671045271391,-0.00139485927549,-0.00284369408216,-1.06991783704e-06,-0.000240973635514,-0.000805254325669,-0.00128703458756,-6.41950702224e-06,-0.00191212445403
62.5,-0.00903936924249,-9.03936924249,-0.000674133314549,-0.00141719800298,-0.00287732628604,3.49384927327e-06,-4.92132975695e-05,-0.000808959977458,-0.00131683702702,2.09630956396e-05,-0.00192015828178
63,-0.00887518297573,-8.87518297573,-0.000677170062587,-0.00144103815428,-0.0029141037147,9.40175591864e-06,0.000182290696928,-0.000812604075105,-0.00134895315632,5.64105355118e-05,-0.00192941680109
63.5,-0.00864603960116,-8.64603960116,-0.000680155241472,-0.00146659949815,-0.00295446684242,1.74437183623e-05,0.000473040763599,-0.000816186289766,-0.00138371295746,0.000104662310174,-0.00194006556404
64,-0.00830555635861,-8.30555635861,-0.000683088623782,-0.00149414672854,-0.002998943814,2.91750649585e-05,0.000859918866108,-0.000819706348539,-0.00142151374427,0.000175050389751,-0.0019523014203
64.5,-0.0077479247672,-7.7479247672,-0.000685969985593,-0.00152399998683,-0.00304816986168,4.82020284328e-05,0.00142515937416,-0.000823163982712,-0.00146283599753,0.000289212170597,-0.00196635852605
65,-0.0066441560507,-6.6441560507,-0.000688799100168,-0.00155655037672,-0.00310291649371,8.59634264001e-05,0.00241970940151,-0.000826558920202,-0.00150826664488,0.000515780558401,-0.00198251790133
65.5,-0.0051402244704,-5.1402244704,-0.000691602033345,-0.00159055708749,-0.00316063540546,0.000137530597002,0.00372549670375,-0.000829922440014,-0.00155591319123,0.000825183582013,-0.00199980519563
