q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,g_x_mm,g_y_mm,h_x_mm,h_y_mm
29.5,2.100157182e-06,-53.08694786,0,-32.79288256,35.86963903,15.68493173,8.857614601,0,0,14.43707017,8.19363334,15.32470196,-21.5126109,42.37106211,-35.04537748,11.35104989,-77.08403278
30,2.481591231e-06,-53.08694786,0,-32.48063762,35.69117635,15.88905328,8.486012399,0,0,14.43707017,8.19363334,15.00090976,-21.52052027,41.53452415,-36.03288358,8.99858017,-76.90955277
30.5,2.947660313e-06,-53.08694786,0,-32.16996193,35.50999564,16.08676693,8.104958437,0,0,14.43707017,8.19363334,14.68761884,-21.52481326,40.66404739,-37.01243919,6.632671064,-76.65276217
31,3.522744436e-06,-53.08694786,0,-31.86087915,35.32611071,16.27776943,7.714184676,0,0,14.43707017,8.19363334,14.38557367,-21.52582485,39.75853672,-37.98347236,4.25431427,-76.31022575
31.5,4.240292576e-06,-53.08694786,0,-31.55341282,35.13953556,16.46173171,7.31339957,0,0,14.43707017,8.19363334,14.09567008,-21.5239086,38.81680185,-38.94536328,1.864592254,-75.87806036
32,5.147093347e-06,-53.08694786,0,-31.24758635,34.9502844,16.63829568,6.902285315,0,0,14.43707017,8.19363334,13.8189962,-21.51944198,37.83754593,-39.897438,-0.5352979706,-75.35184317
32.5,6.310051518e-06,-53.08694786,0,-30.94342303,34.75837164,16.80707044,6.480494658,0,0,14.43707017,8.19363334,13.55688729,-21.5128331,36.81935236,-40.83896116,-2.944014207,-74.72649261
33,7.827283063e-06,-53.08694786,0,-30.64094603,34.56381189,16.96762782,6.047647148,0,0,14.43707017,8.19363334,13.3110009,-21.5045291,35.76066925,-41.76912749,-5.360028954,-73.99611054
33.5,9.846944089e-06,-53.08694786,0,-30.34017838,34.36661998,17.1194972,5.60332474,0,0,14.43707017,8.19363334,13.08342196,-21.4950268,34.65979114,-42.68705164,-7.781575864,-73.15376826
34,5.719869023e-12,-53.08694786,0,-30.04114293,34.16681088,17.26215868,5.147066205,0,0,14.43707017,8.19363334,12.87682249,-21.48488483,33.51483555,-43.5917552,-10.2065765,-72.19118915
34.5,9.226397424e-12,-53.08694786,0,-29.74386255,33.96439988,17.39503778,4.67836226,0,0,14.43707017,8.19363334,12.69465268,-21.47474705,32.32372393,-44.48215591,-12.63253877,-71.0983904
35,1.605471311e-11,-53.08694786,0,-29.44835984,33.75940235,17.51749337,4.196646132,0,0,14.43707017,8.19363334,12.54152585,-21.4653573,31.08414059,-45.35704496,-15.05640884,-69.86294615
35.5,3.318234576e-11,-53.08694786,0,-29.15465731,33.55183392,17.62880872,3.701285687,0,0,14.43707017,8.19363334,12.42373602,-21.45759428,29.79350116,-46.2150691,-17.47435049,-68.46905064
36,8.179767974e-11,-53.08694786,0,-28.8627773,33.34171039,17.7281776,3.191571998,0,0,14.43707017,8.19363334,12.35018161,-21.45250823,28.44890466,-47.05470377,-19.88139809,-66.89585622
36.5,2.428208745e-10,-53.08694786,0,-28.57274207,33.12904775,17.8146876,2.66670555,0,0,14.43707017,8.19363334,12.33401871,-21.45136604,27.04707599,-47.87422065,-22.2708768,-65.11455205
37,9.227605346e-10,-53.08694786,0,-28.28457368,32.91386221,17.8872993,2.125778992,0,0,14.43707017,8.19363334,12.39592304,-21.45569266,25.58429399,-48.67164702,-24.63335051,-63.08267317
37.5,5.008566006e-09,-53.08694786,0,-27.99829409,32.69617016,17.94481976,1.567755273,0,0,14.43707017,8.19363334,12.57140157,-21.46725159,24.05630017,-49.44471403,-26.95447228,-60.73145797
38,4.880760685e-08,-53.08694786,0,-27.7139251,32.47598816,17.98586835,0.9914395468,0,0,14.43707017,8.19363334,12.93073659,-21.48767011,22.45818137,-50.19079012,-29.2097024,-57.93154495
38.5,1.578829924e-06,-53.08694786,0,-27.43148838,32.253333,18.00883223,0.395442533,0,0,14.43707017,8.19363334,13.65676891,-21.51562441,20.78421669,-50.90679384,-31.34609091,-54.35942733
39,9.999576669e-06,-53.08694786,0,-27.1510054,32.02822161,18.01180689,-0.2218684431,0,0,14.43707017,8.19363334,16.37376958,-21.46270389,19.02767298,-51.58907814,-33.0330343,-47.21035331
