finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,distal_start_x_mm,distal_start_y_mm,distal_end_x_mm,distal_end_y_mm,r4_x_mm,r4_y_mm,rod_length_mm,rod_error_mm,perpendicular_deviation_deg,mechanism_residual_mm
ring,27.0,0.4122137404580153,79.12316947948847,-46.05159373219588,0.0,-2.0,42.27931874458649,-14.18438371415057,62.90334204469097,-30.016302830819512,76.63420926200084,-52.09487356038906,62.90334204469097,-30.016302830819512,76.63420926200084,-52.09487356038906,69.7687756533459,-41.05558819560429,28.0,17.39505986927658,59.98369795300213,3.292217343187076e-08
ring,27.5,0.4198473282442748,78.43320708357595,-46.942704404243216,0.0,-2.0,42.21543800762132,-14.403902362751854,62.646003374717466,-30.484698325042142,75.959712946148,-52.81730089275912,62.646003374717466,-30.484698325042142,75.959712946148,-52.81730089275912,69.30285816043273,-41.650999608900634,28.0,17.44701885250456,60.8969546764301,3.407254212106636e-08
ring,28.0,0.42748091603053434,77.7313254302025,-47.82479341353383,0.0,-2.0,42.15041751519849,-14.623086124020883,62.3845218479064,-30.950395205835047,75.27637551746669,-53.52914869141624,62.3845218479064,-30.950395205835047,75.27637551746669,-53.52914869141624,68.83044868268655,-42.239771948625645,28.0,17.49199963656475,61.83217480795748,3.5288664435029204e-08
ring,28.5,0.4351145038167939,77.01760591191567,-48.697698170576,0.0,-2.0,42.084259022776756,-14.841929080314733,62.118928097644904,-31.413351320440107,74.58437647747188,-54.2302879397558,62.118928097644904,-31.413351320440107,74.58437647747188,-54.2302879397558,68.3516522875584,-42.82181963009795,28.0,17.52981849049591,62.78776520328545,3.657476810303706e-08
ring,29.0,0.44274809160305345,76.29213013034018,-49.56125698983839,0.0,-2.0,42.01696431653925,-15.060425323191716,61.84925322522743,-31.873524878072242,73.8838974010128,-54.920592794886204,61.84925322522743,-31.873524878072242,73.8838974010128,-54.920592794886204,67.86657531312011,-43.397058836479225,28.0,17.560301112969924,63.76199720113534,3.793540059859879e-08
ring,29.5,0.45038167938931295,75.55497978352275,-50.41530902545248,0.0,-2.0,41.94853521334521,-15.278568953570888,61.575528795498435,-32.330874455353225,73.17512187881537,-55.599940622723715,61.575528795498435,-32.330874455353225,73.17512187881537,-55.599940622723715,67.37532533715691,-43.965407539038466,28.0,17.58328381655724,64.75301611944835,3.9375429139454354e-08
ring,30.0,0.4580152671755725,74.80623655054515,-51.259694200813364,0.0,-2.0,41.878973560680954,-15.496354081891361,61.297786832430646,-32.78535900169279,72.45823545941211,-56.268212032031926,61.297786832430646,-32.78535900169279,72.45823545941211,-56.268212032031926,66.87801114592138,-44.52678551686236,28.0,17.59861463972493,65.75885317126482,4.090018279612195e-08
ring,30.5,0.46564885496183206,74.0459819732178,-52.094253131772916,0.0,-2.0,41.80828123660997,-15.713774828271262,61.01605981463953,-33.2369378446159,71.73342559047965,-56.92529090739447,61.01605981463953,-33.2369378446159,71.73342559047965,-56.92529090739447,66.37474270255959,-45.08111437600519,28.0,17.606154361578184,66.77743968358216,4.251531038335088e-08
ring,31.0,0.4732824427480916,73.27429733464322,-52.91882704308962,0.0,-2.0,41.736460149722255,-15.930825322666493,60.730380670834634,-33.68557069503571,71.00088155960324,-57.571064441111034,60.730380670834634,-33.68557069503571,71.00088155960324,-57.571064441111034,65.86563111521895,-45.62831756807337,28.0,17.605777395295974,67.80662342247088,4.422704336093375e-08
ring,31.5,0.48091603053435117,72.49126353441466,-53.73325767776361,0.0,-2.0,41.66351223908274,-16.14749970502924,60.440782775208305,-34.13121765247133,70.26079443448818,-58.20542316400602,60.440782775208305,-34.13121765247133,70.26079443448818,-58.20542316400602,65.35078860484825,-46.16832040823867,28.0,17.597372538074147,68.84418675041957,4.604205372515935e-08
ring,32.0,0.48854961832061067,71.69696096019054,-54.53738719884732,0.0,-2.0,41.58943947417898,-16.363792125466155,60.14729994276277,-34.573839210209655,69.51335700263867,-58.82826097514045,60.14729994276277,-34.573839210209655,69.51335700263867,-58.82826097514045,64.83032847270073,-46.701050092675054,28.0,17.580843558146235,69.88786627165219,4.796758901193243e-08
