q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_ef_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_g_Nm
29.5,-0.0129522699016,-12.9522699016,-0.000497535670061,-0.00122286735835,-0.00407015156239,-5.55020362558e-06,-0.00194689599479,-0.000597042804073,-0.00123725823345,-3.33012217535e-05,-0.00334166685316
30,-0.0127844865835,-12.7844865835,-0.000505190764542,-0.00124995698496,-0.00407507363942,-3.42812811008e-06,-0.00173957695156,-0.000606228917451,-0.00126870655999,-2.05687686605e-05,-0.00331575586882
30.5,-0.0126087902295,-12.6087902295,-0.000512807386691,-0.00127759450057,-0.00407911712537,-1.49026913756e-06,-0.00152445911384,-0.000615368864029,-0.00130102288683,-8.94161482533e-06,-0.00328798846822
31,-0.0124241571425,-12.4241571425,-0.000520384956444,-0.0013058296132,-0.00408221339028,2.54156301997e-07,-0.0013005516724,-0.000624461947733,-0.00133428247207,1.52493781198e-06,-0.0032582121845
31.5,-0.0122293820501,-12.2293820501,-0.000527922896703,-0.00133471778484,-0.0040842841439,1.79320447212e-06,-0.00106667792324,-0.000633507476043,-0.00136856920121,1.07592268327e-05,-0.00322625505551
32,-0.0120230274949,-12.0230274949,-0.000535420633371,-0.00136432115831,-0.00408523978171,3.11154778703e-06,-0.000821422645611,-0.000642504760045,-0.00140397697742,1.86692867222e-05,-0.0031919223729
32.5,-0.0118033531692,-11.8033531692,-0.000542877595389,-0.00139470967532,-0.00408497737884,4.18962044265e-06,-0.000563058601538,-0.000651453114467,-0.00144061139852,2.51377226559e-05,-0.00315499274828
33,-0.0115682145654,-11.5682145654,-0.000550293214769,-0.00142596243489,-0.00408337824034,5.00249812705e-06,-0.000289441190335,-0.000660351857723,-0.00147859179461,3.00149887623e-05,-0.00311521331957
33.5,-0.0113148841532,-11.3148841532,-0.000557666983538,-0.00145816980815,-0.00408030402176,5.51885703331e-06,2.17165607821e-06,-0.000669200380246,-0.00151805433198,3.31131421999e-05,-0.00307229228284
34,-0.0110399270314,-11.0399270314,-0.00056499823545,-0.00149143378871,-0.00407559638741,5.69738955055e-06,0.000315268056786,-0.000677997882541,-0.00155915280052,3.41843373033e-05,-0.00302589772037
34.5,-0.0107387131352,-10.7387131352,-0.000572286405008,-0.00152587253187,-0.00406906821755,5.48606302961e-06,0.000654561586496,-0.000686743686009,-0.0016020651118,3.29163781776e-05,-0.00297564121065
35,-0.0104047852351,-10.4047852351,-0.00057953104213,-0.00156162373132,-0.00406049757567,4.81889674412e-06,0.00102663642802,-0.000695437250556,-0.00164699834642,2.89133804647e-05,-0.00292106599427
35.5,-0.0100288765617,-10.0288765617,-0.000586731545714,-0.00159884665423,-0.00404962437242,3.60981464335e-06,0.00144096713779,-0.000704077854857,-0.0016941921265,2.16588878601e-05,-0.00286163984831
36,-0.00959667581521,-9.59667581521,-0.000593887367406,-0.00163772895789,-0.0040361374004,1.74976012096e-06,0.00191215354664,-0.000712664840887,-0.00174392859595,1.04985607257e-05,-0.00279673052016
36.5,-0.00908427990483,-9.08427990483,-0.000600997962235,-0.0016784931849,-0.00401966245604,-8.94633333623e-07,0.00246445847154,-0.000721197554682,-0.00179654222267,-5.36780000174e-06,-0.00272558256249
37,-0.00844702166444,-8.44702166444,-0.000608062788591,-0.00172140583796,-0.00399974554799,-4.46288211883e-06,0.00314282627243,-0.000729675346309,-0.00185243341063,-2.6777292713e-05,-0.00264728483058
37.5,-0.00758596550796,-7.58596550796,-0.000615081307781,-0.00176678956134,-0.00397583030558,-8.98374006692e-06,0.00404553298314,-0.000738097569337,-0.00191208677267,-5.39024404015e-05,-0.00256072679392
38,-0.00620331378353,-6.20331378353,-0.000622052976659,-0.0018150397402,-0.00394722694189,-1.35898524558e-05,0.00546323316467,-0.000746463571991,-0.00197609603831,-8.15391147349e-05,-0.00246453871195
38.5,-0.00101183731938,-1.01183731938,-0.000628977288574,-0.00186664798321,-0.00391306988225,7.01400646519e-06,0.0105047405554,-0.000754772746289,-0.00204519922853,4.20840387911e-05,-0.00235700879121
39,0.00761346934464,7.61346934464,-0.000635877805897,-0.00192007192403,-0.00387589456592,5.24559212622e-05,0.0188015613058,-0.000763053367076,-0.00211705451897,0.000314735527573,-0.00224333122808
